stem,model,perturbation,level,psnr,ssim,lpips,clip_cos,dinov2L_cos
20260505_122104_654322_a473e239,teacher_15b,clean,0.0,22.118239084163243,0.7986524105072021,0.12375231087207794,0.9814854264259338,0.9464238882064819
20260505_122104_654322_a473e239,student_l1b_c,clean,0.0,21.80071930619508,0.774803638458252,0.1425943523645401,0.9695598483085632,0.9273009300231934
20260505_122104_654322_a473e239,teacher_15b,exposure,0.8,24.165859698364414,0.8059611320495605,0.12146314233541489,0.9830057621002197,0.9396203756332397
20260505_122104_654322_a473e239,student_l1b_c,exposure,0.8,23.519224011913778,0.7761259078979492,0.14653868973255157,0.9707268476486206,0.9237312078475952
20260505_122104_654322_a473e239,teacher_15b,exposure,1.2,20.280435478844403,0.7851468324661255,0.12936308979988098,0.9806522130966187,0.9455063939094543
20260505_122104_654322_a473e239,student_l1b_c,exposure,1.2,19.776412892396653,0.7620062828063965,0.14963269233703613,0.9679922461509705,0.9322735071182251
20260505_122104_654322_a473e239,teacher_15b,gamma,0.8,21.788840935333358,0.7963985800743103,0.12656369805335999,0.9815284013748169,0.9437072277069092
20260505_122104_654322_a473e239,student_l1b_c,gamma,0.8,21.68111252758029,0.774347186088562,0.14512299001216888,0.9708577990531921,0.9247318506240845
20260505_122104_654322_a473e239,teacher_15b,gamma,1.2,22.47627046909625,0.7994277477264404,0.12178546190261841,0.9841828346252441,0.9482359886169434
20260505_122104_654322_a473e239,student_l1b_c,gamma,1.2,22.027635363758158,0.77374267578125,0.14199241995811462,0.9670170545578003,0.9284776449203491
20260505_122104_654322_a473e239,teacher_15b,blur,1.0,17.160153581260317,0.6616546511650085,0.36606186628341675,0.9326744079589844,0.8484702110290527
20260505_122104_654322_a473e239,student_l1b_c,blur,1.0,17.00930765687601,0.6508622169494629,0.4160202443599701,0.8533424735069275,0.864275336265564
20260505_122104_654322_a473e239,teacher_15b,blur,2.0,14.420580706009876,0.5683934092521667,0.625222384929657,0.670386791229248,0.5759145021438599
20260505_122104_654322_a473e239,student_l1b_c,blur,2.0,15.434250536432119,0.5623036623001099,0.6327542662620544,0.6798361539840698,0.6886386871337891
20260505_122104_654322_a473e239,teacher_15b,noise,0.01,23.665904637520825,0.786864697933197,0.1332317441701889,0.9783672094345093,0.9331530332565308
20260505_122104_654322_a473e239,student_l1b_c,noise,0.01,21.687836732819004,0.7527819871902466,0.1692502349615097,0.9691981673240662,0.9062902927398682
20260505_122104_654322_a473e239,teacher_15b,noise,0.03,20.334017367933285,0.6339887380599976,0.3056696653366089,0.8798971176147461,0.7156959772109985
20260505_122104_654322_a473e239,student_l1b_c,noise,0.03,17.16267363675708,0.5661789774894714,0.374897301197052,0.7788884043693542,0.7520042657852173
20260505_135001_493941_cf8c21ee,teacher_15b,clean,0.0,24.551209898747143,0.7800814509391785,0.084272600710392,0.9879767894744873,0.8571584224700928
20260505_135001_493941_cf8c21ee,student_l1b_c,clean,0.0,23.211504140553973,0.7483291625976562,0.10341513901948929,0.9770999550819397,0.8729047775268555
20260505_135001_493941_cf8c21ee,teacher_15b,exposure,0.8,24.95766740896012,0.7819918990135193,0.08646093308925629,0.9857962131500244,0.8611373901367188
20260505_135001_493941_cf8c21ee,student_l1b_c,exposure,0.8,23.23296314038254,0.7507902383804321,0.10857728868722916,0.9697111248970032,0.8641040325164795
20260505_135001_493941_cf8c21ee,teacher_15b,exposure,1.2,23.94299653260511,0.7725855708122253,0.08651396632194519,0.9891079068183899,0.8584071397781372
20260505_135001_493941_cf8c21ee,student_l1b_c,exposure,1.2,22.09786791000784,0.7339802980422974,0.10861150920391083,0.9725463390350342,0.7343088388442993
20260505_135001_493941_cf8c21ee,teacher_15b,gamma,0.8,24.51528133987402,0.7796530723571777,0.08566629141569138,0.9881799221038818,0.8483037948608398
20260505_135001_493941_cf8c21ee,student_l1b_c,gamma,0.8,22.968100880836566,0.7448060512542725,0.10662810504436493,0.9715232849121094,0.8650625944137573
20260505_135001_493941_cf8c21ee,teacher_15b,gamma,1.2,24.589150926472744,0.7805724143981934,0.08317940682172775,0.9867555499076843,0.8648108839988708
20260505_135001_493941_cf8c21ee,student_l1b_c,gamma,1.2,23.36540314231317,0.7512669563293457,0.10204172134399414,0.9782167673110962,0.8821090459823608
20260505_135001_493941_cf8c21ee,teacher_15b,blur,1.0,19.41796931066176,0.7325376868247986,0.2648913860321045,0.9479374289512634,0.6534853577613831
20260505_135001_493941_cf8c21ee,student_l1b_c,blur,1.0,13.643322104148885,0.623548150062561,0.41759636998176575,0.8415087461471558,0.40903255343437195
20260505_135001_493941_cf8c21ee,teacher_15b,blur,2.0,12.118365035428694,0.6028732061386108,0.5931111574172974,0.8193156719207764,0.36222049593925476
20260505_135001_493941_cf8c21ee,student_l1b_c,blur,2.0,12.698973274036803,0.5934258699417114,0.6258211731910706,0.7992305755615234,0.32214486598968506
20260505_135001_493941_cf8c21ee,teacher_15b,noise,0.01,23.782178087604883,0.761527419090271,0.10690712928771973,0.9742015600204468,0.835586667060852
20260505_135001_493941_cf8c21ee,student_l1b_c,noise,0.01,22.728565264828248,0.7129070162773132,0.16891096532344818,0.9312328696250916,0.8886614441871643
20260505_135001_493941_cf8c21ee,teacher_15b,noise,0.03,19.93069068707684,0.5908529162406921,0.2837521731853485,0.8999711871147156,0.745484471321106
20260505_135001_493941_cf8c21ee,student_l1b_c,noise,0.03,14.912455153527286,0.4055342674255371,0.6026440858840942,0.8055061101913452,0.6309572458267212
20260505_121817_357741_a473e239,teacher_15b,clean,0.0,23.338771714201933,0.7358644008636475,0.14194971323013306,0.9606581926345825,0.9271061420440674
20260505_121817_357741_a473e239,student_l1b_c,clean,0.0,20.324678073397706,0.6744074821472168,0.2333868145942688,0.9616206884384155,0.8848691582679749
20260505_121817_357741_a473e239,teacher_15b,exposure,0.8,22.50636793959255,0.7321407198905945,0.14528287947177887,0.9530347585678101,0.9247560501098633
20260505_121817_357741_a473e239,student_l1b_c,exposure,0.8,19.497362938560194,0.6676790118217468,0.23964963853359222,0.9563671946525574,0.8843725919723511
