model,perturbation,level,psnr,ssim,lpips,clip_cos,dinov2L_cos,psnr_delta,lpips_delta,clip_cos_delta,dinov2L_cos_delta
student_l1b_c,blur,1.0,19.28096657966942,0.6443838460743427,0.4017643488198519,0.8698838597536087,0.75932393476367,-3.6104337853198594,0.23901315043680377,-0.04987675219774246,-0.11333014860749246
student_l1b_c,blur,2.0,16.144476574848248,0.5183689606934786,0.6621972118318081,0.7753397086262703,0.5724406225979328,-6.746923790141032,0.49944601344876,-0.14442090332508084,-0.30021346077322963
student_l1b_c,clean,0.0,22.89140036498928,0.7519998294115067,0.16275119838304813,0.9197606119513512,0.8726540833711625,0.0,0.0,0.0,0.0
student_l1b_c,exposure,0.8,22.16516506158505,0.74770880818367,0.16941088306717572,0.9168000513315201,0.8704108250141144,-0.7262353034042306,0.006659684684127587,-0.0029605606198310763,-0.0022432583570480835
student_l1b_c,exposure,1.2,21.747148815081992,0.7428242483735085,0.1680022697895765,0.9176029571890831,0.8677050492167473,-1.1442515499072883,0.005251071406528363,-0.0021576547622680353,-0.004949034154415166
student_l1b_c,gamma,0.8,22.79402714909363,0.7502750654518604,0.16415907746180888,0.9197245413064956,0.8730273696780205,-0.09737321589565084,0.0014078790787607487,-3.6070644855557e-05,0.0003732863068580672
student_l1b_c,gamma,1.2,22.89869758804026,0.7522582897543907,0.16335211129859087,0.918462723493576,0.8705121368169785,0.007297223050979795,0.000600912915542734,-0.0012978884577751204,-0.002141946554183982
student_l1b_c,noise,0.01,21.521042860157888,0.7131390938162804,0.20790721019729969,0.9043687278032303,0.8348761162161827,-1.370357504831393,0.04515601181425155,-0.015391884148120871,-0.03777796715497972
student_l1b_c,noise,0.03,17.30915944646056,0.5503244797885418,0.39839088629931213,0.8250909939408302,0.7182846090197563,-5.582240918528722,0.235639687916264,-0.09466961801052098,-0.15436947435140613
teacher_15b,blur,1.0,21.70803711143782,0.6951735542714595,0.32530997969210146,0.9054995828866959,0.8356847120821476,-3.0744276968883817,0.20875865051522852,-0.04199285864830016,-0.07850779011845588
teacher_15b,blur,2.0,16.315747443634816,0.533423387631774,0.6255121710896492,0.7688029785454273,0.5474348590988666,-8.466717364691387,0.5089608419127762,-0.17868946298956867,-0.36675764310173686
teacher_15b,clean,0.0,24.782464808326203,0.7916227047145367,0.11655132917687293,0.947492441534996,0.9141925022006034,0.0,0.0,0.0,0.0
teacher_15b,exposure,0.8,24.21676025024475,0.7874949905276298,0.12221564799547192,0.9468407765030861,0.9120618224143981,-0.5657045580814533,0.005664318818598996,-0.0006516650319099426,-0.0021306797862052917
teacher_15b,exposure,1.2,24.040963880951175,0.7870801170170307,0.11847509587183591,0.9455446127057076,0.9113279029726982,-0.7415009273750286,0.0019237666949629834,-0.001947828829288456,-0.0028645992279052734
teacher_15b,gamma,0.8,24.746460714074168,0.7910956971347332,0.11715031160973009,0.9477877703309059,0.9144542890787125,-0.03600409425203566,0.0005989824328571647,0.00029532879590987715,0.00026178687810907153
teacher_15b,gamma,1.2,24.78994815050877,0.7916683942079544,0.11665386010892685,0.9480900466442108,0.9136478519439697,0.0074833421825672986,0.00010253093205392361,0.0005976051092148049,-0.0005446502566337497
teacher_15b,noise,0.01,24.049220921011056,0.7650793299078942,0.14228830878622825,0.9300165325403214,0.8923043358325958,-0.7332438873151474,0.025736979609355323,-0.01747590899467466,-0.02188816636800761
teacher_15b,noise,0.03,19.120817201950857,0.6145778618007899,0.32439970899373294,0.8621744045615196,0.7552026733756065,-5.661647606375347,0.20784837981686,-0.0853180369734764,-0.1589898288249969
